Date,ICICIPru_Dynamic_Plan,ICICIPru_Export_And_Services,Tata_Ethical_Fund,Principal_Growth_Fund,Birla_Equity_Fund,Birla_India_GenNext_Fund,HSBC_India_Opp_Fund,Reliance_Equity_Opp_Fund,SBI_Magnum_Multipler_Plus,Birla_Advantage_Fund,DSPBR_Opp_Fund,DWS_Inv_Opp_Fund,Franklin_India_FlexiCap,HDFC_Capital_Builder_Fund,Franklin_India_PrimaPlus,HDFC_Equity,SBI_Magnum_Multicap,Tata_Dividend_Yield,Taurus_Starshare,Tata_Equity_Opp_Fund,UTI_Service_Industries,Tata_Equity_PE,Birla_Dividend_Yield_Plus,HDFC_Premier_Multicap,Reliance_Growth_Fund,Reliance_Regular_Savings_Equity,HDFC_Core_Satellite_Fund,Reliance_Vision_Fund,HDFC_Growth_Fund,Franklin_India_Growth_Fund
02-08-2010,102.1380,17.3600,63.7518,53.0900,267.9300,23.4000,33.6509,34.5871,83.6600,159.9000,84.8400,39.3100,31.3122,106.2440,210.6841,265.8270,18.2800,31.3845,55.4300,82.1019,58.1100,46.4018,83.2800,28.8350,472.6115,30.6739,39.7530,269.6026,83.6830,117.3878
01-09-2010,102.7942,17.5600,66.0352,53.4800,276.1100,24.9000,34.5246,36.1966,84.9100,162.2600,87.9250,39.9000,32.3563,109.7190,219.7432,276.3000,18.3400,32.5701,57.0500,83.3556,59.3800,47.3367,86.0600,29.5870,483.9199,31.6767,40.7250,276.3032,87.0020,120.6729
01-10-2010,109.8869,19.0300,70.6984,57.8400,296.8600,26.4600,37.7574,39.4062,90.4000,177.1000,95.5100,43.0300,35.4646,119.5160,238.4322,300.5160,19.9500,35.4099,62.2000,89.5694,64.8000,51.5933,92.1400,31.7170,518.4569,33.8882,43.9250,303.8677,94.2140,132.6605
01-11-2010,110.5808,18.7000,70.1953,58.4100,297.3500,26.2700,38.0587,38.8254,92.8200,177.5400,95.1300,43.0300,35.7526,120.2100,235.0816,306.9680,19.9800,35.6901,62.2200,89.0319,64.1800,51.5555,94.0500,31.8300,533.8307,34.6106,44.8400,302.3686,93.7590,133.8952
01-12-2010,109.3762,18.4700,69.0079,57.2500,287.1200,25.6000,36.9255,38.0277,90.1900,172.5900,93.0760,41.5300,34.8907,118.5160,230.1301,302.1260,19.4300,34.5604,60.0900,86.3732,62.6800,50.2202,90.9900,30.9480,504.7490,33.3813,43.3990,290.4200,92.7330,128.2708
03-01-2011,111.8971,18.7100,70.3869,57.4200,289.4700,25.7000,37.5253,38.5413,89.7600,174.4500,93.9070,41.0400,34.8899,119.2900,232.3667,299.8200,19.5300,35.5773,61.2000,86.5965,64.0100,51.3889,90.6900,31.0440,504.3416,33.4102,44.0490,292.0601,93.5760,131.7420
01-02-2011,103.8346,16.4100,61.7949,50.2000,253.4500,22.3900,33.4152,34.0064,77.2000,151.4700,83.5240,35.5500,31.1741,105.6770,209.5230,269.2800,17.0400,31.9127,54.6400,74.7406,57.6900,45.9210,80.8500,27.8730,446.5899,29.7168,39.7390,259.7292,83.1340,116.3344
01-03-2011,104.9664,16.7000,61.8832,49.1500,248.6000,22.3700,33.7118,33.6215,75.9800,150.4700,83.2050,35.3500,31.1590,105.9660,210.6518,268.9550,16.9100,31.5352,54.8000,75.4226,57.1300,45.6042,80.1900,27.5850,439.5852,28.9557,38.8690,257.8474,84.0670,114.5763
01-04-2011,109.1458,17.8200,65.1811,51.5200,260.6900,23.7800,35.6474,35.7611,81.0900,158.2100,86.2860,36.5700,33.2263,111.4210,224.2839,282.6610,18.0300,33.0346,57.3200,79.7504,60.0900,47.9064,85.0900,28.9130,461.4267,30.4614,40.6820,270.7799,87.9730,120.4035
02-05-2011,108.9510,17.4900,66.2333,51.1500,258.9000,24.3200,35.2196,36.0082,80.2000,155.8000,86.2410,36.6000,32.9717,111.1080,222.6617,282.8840,17.5700,33.9665,58.5100,79.6457,59.4500,48.2894,85.8400,29.1190,461.7434,30.7784,40.5850,271.5728,87.8240,122.0426
01-06-2011,108.2348,17.1500,66.3068,50.0100,253.6200,24.6000,35.0188,35.8759,79.3300,154.0400,85.9260,36.0500,32.7098,110.5500,222.1574,280.6390,17.3200,33.8644,57.6500,79.1345,58.3000,47.5658,85.0800,29.3370,451.7703,30.2336,40.1720,268.7926,87.0840,118.9864
01-07-2011,107.8441,17.3600,66.0943,49.7800,253.4500,25.8900,35.3380,36.6267,80.7300,154.5800,86.0370,36.2600,32.7302,111.8280,222.8284,281.0540,17.4700,34.1191,58.2600,79.5531,58.9500,46.9812,85.7500,30.1570,450.8940,30.1254,40.7720,269.2270,87.7240,116.8941
01-08-2011,106.9719,17.1000,66.0139,49.0000,253.2700,26.0300,34.9763,36.7495,79.5700,153.4100,85.4470,36.3000,32.3659,109.8670,223.4303,277.6270,17.0500,34.3336,57.8000,79.3486,59.0900,46.9776,85.9300,29.5950,447.6536,30.1560,39.6010,267.2073,86.2960,114.9899
